277.621824867208 - 56.9859321144914i,-152.527771784815 - 185.729927397670i,-85.8753534039076 + 265.737508677640i
-51.1273141383220 + 21.4169730836114i,18.5910332782842 + 15.7934334474668i,8.22764653246742 - 72.0886391686805i
-47.8642749901789 + 22.4465606116367i,4.46899495171630 + 3.25584982547933i,1.10528241216695 - 13.3268981194499i
-13.5740046683735 + 3.61680729909344i,30.6303905643123 + 24.1450881188203i,3.19361915175784 - 10.9006528715924i
-1.75747168732356 + 0.495348803547668i,4.13151578432244 + 3.25215816207339i,0.231780842982589 - 0.635622033341068i
-37.5367103832602 + 16.2164223810644i,8.76506476200052 + 7.89759998613087i,9.43833603791918 - 98.9893271481907i
-23.0537440221226 + 10.2112430100053i,10.7721035634442 + 8.58457022755806i,1.53498867726673 - 6.71311058966858i
-4.09187715175385 - 40.7014096981040i,-35.7075679321644 + 21.6629369762768i,36.9100057176269 + 20.1405680093050i
-0.675505888502729 + 0.326430351179900i,-5.44213574058406e-12 - 8.37890077826584e-13i,6.07906316256667e-12 - 2.13565686789580e-12i
9.55276282125635e-13 + 9.07765287841614e-13i,8.29945683256065e-12 + 2.02163052991637e-12i,-9.75183417146450e-12 - 5.11658506136831e-13i
-4.60478506343744e-12 + 8.10527217011250e-12i,-8.29537980854280e-12 - 6.71367118678334e-12i,1.23988813160679e-11 - 1.23085584907679e-12i
-13.7359240490559 + 2.90951269834473i,32.0335104889046 + 25.2032635388893i,3.75573792352951 - 8.98956594597065i
-29.7808340082565 + 5.41509754931005i,31.4489563382148 + 29.8324486075020i,9.88978184149379 - 28.7284907021854i
-0.337949623513767 - 0.126524824987995i,1.60412695481230 + 1.87805824430925i,0.858343641606051 - 1.53782895630206i
-0.0270109339195163 - 0.150267905904218i,0.0810357954254344 + 0.301216212385483i,0.182886567739187 - 0.175887162692541i
-1.13224122799628 - 0.234684725186910i,-2.82588317641151 + 1.92371210324913i,0.375371114922006 + 0.0254529926660304i
-1.96381939865646 - 1.22989308801724i,-0.928251091575392 + 0.556496562335669i,0.634892648158791 + 0.356218199188299i
-1.15628671116811 + 0.242651583050104i,0.792533571995347 + 0.877594657254181i,0.366892573758534 - 1.11918633953130i
-0.801798666983430 + 0.167565595174106i,0.548886914221259 + 0.608771555915935i,0.254981455121330 - 0.775669513778790i
3.15710425880995e-13 - 4.64825171119403e-12i,2.18898514271358e-12 - 3.48631843052980e-12i,-3.83453752796038e-13 + 5.11294489645703e-12i
-1.28303814100269e-13 + 5.65578366763198e-13i,5.50388565684599e-13 - 1.86960265730554e-14i,-4.89563229406580e-13 - 2.73454657981402e-13i
-49.0044657109470 + 16.0100254219362i,48.1608174050248 + 39.9332239163864i,8.87471723535601 - 42.3013293571127i
