2252.78082853181 + 15.9996824135252i,2252.78082853173 + 15.9996824134993i,2252.78082853179 + 15.9996824135396i
-6.60960643792192e-09 - 3.63924788735542e-09i,-1.22595071610055e-09 - 1.43316064352925e-09i,-4.26208293908637e-09 - 4.53809366175952e-09i
8.25883531234105e-09 + 9.08210409359914e-09i,1.24831451041728e-09 + 6.13677879092641e-09i,5.39243813904128e-09 + 8.97120888662551e-09i
-344.999999998456 + 1.13197540230203e-09i,-345.000000002224 - 9.70541691458493e-09i,-344.999999998009 + 3.46972228726372e-09i
1.00075690181632e-08 - 1.03077928912831e-09i,2.14098381445257e-08 + 6.28386160576186e-09i,1.15900750841679e-10 - 3.09690953733491e-09i
-562.999999992686 - 6.49432996269184e-09i,-562.999999995629 - 7.40101313567720e-09i,-562.999999996091 - 4.79775508210878e-09i
-1.60698547714377e-09 + 4.93326976331762e-09i,-3.82637502548032e-09 - 9.03176958497773e-10i,-3.64985735208980e-09 - 1.00985637723621e-09i
-9.96705566329449e-12 - 3.58557570800013e-12i,1.78953906683845e-12 + 1.83796784518092e-12i,-1.69879016183128e-11 + 1.33965195940322e-11i
-1.13314524145281e-08 - 1.12265310222123e-08i,-1.30845109587141e-08 + 5.27262978980865e-09i,-9.97105679215518e-10 - 2.62260621277051e-09i
1.16886680036636e-09 + 4.04771461213730e-09i,9.03017467732564e-10 - 3.37685265387956e-09i,-2.71641298817286e-09 + 4.88213253943823e-10i
-251.000000003757 - 7.66432250998150e-10i,-250.999999997757 + 5.58530643957056e-09i,-251.000000002559 + 6.85808743128291e-09i
1.13112934654724e-09 + 4.73045705034345e-09i,-2.38187294910567e-09 + 5.94333797098415e-10i,-2.21668436582892e-09 + 3.14537210734000e-09i
-309.999999998556 - 2.12370392382866e-08i,-309.999999995432 - 5.00190822094737e-09i,-309.999999982159 - 1.08081792404846e-08i
2.95536545777179e-09 + 1.48299468033270e-08i,-1.50696038036272e-09 + 4.82872149837470e-10i,-6.86284159953751e-09 - 4.32566363033832e-10i
-310.999999999618 - 2.44551046080233e-10i,-310.999999999455 - 4.27462509833276e-11i,-310.999999999347 - 3.72324393538293e-11i
4.61396841498062e-09 - 1.89460307173928e-09i,7.13641836243935e-09 - 7.58817961991719e-09i,-6.54895257114009e-10 - 4.01421227663431e-09i
-211.999999999401 - 3.59971674690485e-09i,-211.999999990703 + 2.23921858832910e-09i,-211.999999992930 - 5.28466159721575e-09i
5.81218577592605e-09 + 3.82159915366465e-09i,-6.66068402069113e-09 - 6.18558549786211e-09i,-7.14061605651848e-09 + 8.65964028768471e-09i
-241.999999999489 - 4.54800641591646e-11i,-241.999999999531 - 2.70006239588838e-12i,-241.999999999453 - 7.24611481928150e-11i
