100.000000000000 + 0.00000000000000i,-50.0000000000000 - 86.6025403784439i,-50.0000000000000 + 86.6025403784439i
99.7053659011682 - 0.247613105831032i,-50.0671221905437 - 86.2235732111189i,-49.6382437106244 + 86.4711863169499i
99.7030971266764 - 0.249849881042891i,-50.0679249074539 - 86.2204900071676i,-49.6351722192225 + 86.4703398882105i
99.3110146502465 - 0.578307429792643i,-50.1563362505209 - 85.7167078478257i,-49.1546783997255 + 86.2950152776184i
99.3090952794100 - 0.580198847081605i,-50.1570145805241 - 85.7140999152775i,-49.1520806988858 + 86.2942987623591i
99.2817365920079 - 0.603121533398724i,-50.1631868654966 - 85.6789452538145i,-49.1185497265112 + 86.2820667872133i
99.2817365920079 - 0.603121533398724i,-50.1631868654966 - 85.6789452538145i,-49.1185497265112 + 86.2820667872133i
99.2817365920079 - 0.603121533398725i,-50.1631868654966 - 85.6789452538145i,-49.1185497265112 + 86.2820667872133i
99.3077464039679 - 0.581526658469848i,-50.1574900611967 - 85.7122678491840i,-49.1502563427712 + 86.2937945076539i
99.3063975285259 - 0.582854469858091i,-50.1579655418694 - 85.7104357830906i,-49.1484319866565 + 86.2932902529487i
99.1312495063378 - 0.729320058341541i,-50.1972344511822 - 85.4855203522114i,-48.9340150551556 + 86.2148404105529i
99.1301556789068 - 0.730396547145810i,-50.1976198041181 - 85.4840348254666i,-48.9325358747886 + 86.2144313726124i
99.0788068042750 - 0.773354178114350i,-50.2091477665073 - 85.4180865800954i,-48.8696590377676 + 86.1914407582098i
99.0784903847581 - 0.773665606508259i,-50.2092592616495 - 85.4176568385586i,-48.8692311231086 + 86.1913224450669i
99.0620553215321 - 0.787501058390923i,-50.2130235828397 - 85.3965059303508i,-48.8490317386924 + 86.1840069887417i
99.0783447007494 - 0.773808818195868i,-50.2093104446047 - 85.4174590666624i,-48.8690342561446 + 86.1912678848583i
99.0571146912908 - 0.791436194486271i,-50.2139611955450 - 85.3902596510034i,-48.8431534957458 + 86.1816958454897i
99.0568683013048 - 0.791678540677357i,-50.2140478785100 - 85.3899250979208i,-48.8428204227948 + 86.1816036385982i
99.0238920140720 - 0.819322017540432i,-50.2214996881059 - 85.3475450570231i,-48.8023923259660 + 86.1668670745636i
