22.5278082853181 - 0.159996824135252i,-11.4024654568844 - 19.4296558546029i,-11.1253428284329 + 19.5896526787386i
-6.62003271940561e-11 + 3.66644254593337e-11i,1.86045607837874e-11 + 3.41523654228812e-12i,-1.81921340864760e-11 - 5.97321344193791e-11i
8.26055020424766e-11 - 9.12984985500759e-11i,-5.95141615278935e-11 + 2.00814917631231e-11i,5.11116227253324e-11 + 9.17004876547061e-11i
-3.47381710676386 + 0.0202287152993594i,1.75442713483045 + 2.99829950488642i,1.71938997206499 - 3.01852822019259i
1.00829127320635e-10 + 9.79042597225448e-12i,-1.63492760973617e-10 - 1.54111509793822e-10i,-2.76743947502889e-11 - 1.44198788455782e-11i
-5.67052152039425 + 0.0344475606334256i,2.86509322282694 + 4.89359190907204i,2.80542829762199 - 4.92803946970585i
-1.64873620607394e-11 - 4.95894416156513e-11i,2.73227364297872e-11 + 2.86625784783089e-11i,9.34778154937153e-12 - 3.69799658032448e-11i
-1.00168542270058e-13 + 3.67236677959746e-14i,-2.50825236745267e-14 - 6.20128717879220e-15i,2.01912819244217e-13 - 8.19432940020093e-14i
-1.13438539981026e-10 + 1.13712162104385e-10i,2.07209058850096e-11 + 1.40530668829367e-10i,-1.79781028037372e-11 - 2.17945456136951e-11i
1.15306799781774e-11 - 4.08275339898262e-11i,2.47551724124838e-11 - 2.50224670191687e-11i,1.78092862082241e-11 - 2.13355463772473e-11i
-2.53185969181734 + 0.0186271843451060i,1.28206146066661 + 2.18334121973935i,1.24979823112575 - 2.20196840405573i
1.10583460153110e-11 - 4.78011357456029e-11i,6.99664740821458e-12 + 2.37548204966068e-11i,3.86315299475766e-11 - 3.78527858475014e-12i
-3.12863188815030 + 0.0244203643721663i,1.58546459983388 + 2.69726451209801i,1.54316728816912 - 2.72168487621845i
2.86579962846295e-11 - 1.49902551519786e-10i,3.50586183501369e-12 + 1.55814816726768e-11i,3.03650705632309e-11 - 6.24067921865531e-11i
-3.13924788220093 + 0.0249556807801453i,1.59123619462221 + 2.70619057437205i,1.54801168757659 - 2.73114625514916i
4.67153855596849e-11 + 1.87574217157235e-11i,2.95247955250829e-11 - 1.00902533052936e-10i,-3.19835183314490e-11 - 2.57322924295357e-11i
-2.14004282735099 + 0.0170982908213552i,1.08482896779276 + 1.84478230821614i,1.05521385941590 - 1.86188059903487i
5.83631782288466e-11 - 3.90462983108785e-11i,8.79095349436748e-11 + 2.63074410883469e-11i,1.11595006612635e-10 - 1.96097672485179e-11i
-2.44368736860114 + 0.0202190282001975i,1.23935387636162 + 2.10618582601622i,1.20433349223895 - 2.12640485421565i
